Artikelname;Anbietername;Wirkstoffe;ATC-C. (ADV);ATC 4 Steller;Stoffklasse;;;;;;
CLARILIND ;Aristo Pharma;Clarithromycin;J01FA09;J01F;MAKROLIDE, LINCOSAMIDE UND STREPTOGRAMINE;;;;;;
CLINDAMYCIN ;Aristo Pharma;Clindamycin hydrochlorid;J01FF01;J01F;MAKROLIDE, LINCOSAMIDE UND STREPTOGRAMINE;;;;;;
CLOTRIMAZOL ;Aristo Pharma;Clotrimazol;G01AF02;G01A;ANTIINFEKTIVA UND ANTISEPTIKA, EXKL. KOMBINATIONEN MIT CORTICOSTEROIDEN;;;;;;
CONTIPHYLLIN ;Aristo Pharma;Theophyllin;R03DA04;R03D;ANDERE MITTEL BEI OBSTRUKTIVEN ATEMWEGSERKRANKUNGEN ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
DESLORATADIN ;Aristo Pharma;Desloratadin;R06AX27;R06A;ANTIHISTAMINIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
DESOGESTREL ;Aristo Pharma;Desogestrel;G03AC09;G03A;HORMONELLE KONTRAZEPTIVA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
DIBENZYRAN ;Aristo Pharma;Phenoxybenzamin hydrochlorid;G04BD20;G04B;UROLOGIKA;;;;;;
DOXYCYCLIN ;Aristo Pharma;Doxycyclin-1-Wasser;J01AA02;J01A;TETRACYCLINE;;;;;;
EBASTIN ;Aristo Pharma;Ebastin;R06AX22;R06A;ANTIHISTAMINIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
EFEROX ;Aristo Pharma;Levothyroxin natrium;H03AA01;H03A;SCHILDDRÜSENPRÄPARATE;;;;;;
ESOMEPRAZOL ;Aristo Pharma;Esomeprazol hemimagnesium-1-Wasser;A02BC05;A02B;MITTEL BEI PEPTISCHEM ULKUS UND GASTROESOPHAGEALER REFLUXKRANKHEIT;;;;;;
EXEMESTAN ;Aristo Pharma;Exemestan;L02BG06;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
FENTANYL ;Aristo Pharma;Fentanyl;N02AB03;N02A;OPIOIDE;;;;;;
FINARISTO ;Aristo Pharma;Finasterid;D11AX10;D11A;ANDERE DERMATIKA;;;;;;
FINASTERID ;Aristo Pharma;Finasterid;G04CB01;G04C;MITTEL BEI BENIGNER PROSTATAHYPERPLASIE;;;;;;
FLUCONAZOL ;Aristo Pharma;Fluconazol;J02AC01;J02A;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
FLUPIRTIN ;Aristo Pharma;Flupirtin maleat;N02BG07;N02B;ANDERE ANALGETIKA UND ANTIPYRETIKA;;;;;;
FORMO-Aristo ;Aristo Pharma;Formoterol hemifumarat-1-Wasser;R03AC13;R03A;INHALATIVE SYMPATHOMIMETIKA;;;;;;
FOSFOMYCIN ;Aristo Pharma;Fosfomycin trometamol;J01XX01;J01X;ANDERE ANTIBIOTIKA;;;;;;
GABAPENTIN ;Aristo Pharma;Gabapentin;N03AX12;N03A;ANTIEPILEPTIKA;;;;;;
GLIMEPIRID ;Aristo Pharma;Glimepirid;A10BB12;A10B;ANTIDIABETIKA, EXKL. INSULINE;;;;;;
HYDROMORPHON ;Aristo Pharma;Hydromorphon hydrochlorid;N02AA03;N02A;OPIOIDE;;;;;;
HYDROXYCHLOROQUIN ;Aristo Pharma;Hydroxychloroquin sulfat;P01BA02;P01B;MALARIAMITTEL;;;;;;
ITRACONAZOL ;Aristo Pharma;Itraconazol;J02AC02;J02A;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
JATROSOM ;Aristo Pharma;Tranylcypromin hemisulfat;N06AF04;N06A;ANTIDEPRESSIVA;;;;;;
LAMOTRIGIN ;Aristo Pharma;Lamotrigin;N03AX09;N03A;ANTIEPILEPTIKA;;;;;;
LETROZOL ;Aristo Pharma;Letrozol;L02BG04;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
LEVETIRACETAM ;Aristo Pharma;Levetiracetam;N03AX14;N03A;ANTIEPILEPTIKA;;;;;;
LOPERAMID ;Aristo Pharma;Loperamid hydrochlorid;A07DA03;A07D;MOTILITÄTSHEMMER;;;;;;
LOSARTAN ;Aristo Pharma;Losartan kalium;C09CA01;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
L-THYROXIN ;Aristo Pharma;Levothyroxin natrium;H03AA01;H03A;SCHILDDRÜSENPRÄPARATE;;;;;;
MELPERON ;Aristo Pharma;Melperon hydrochlorid;N05AD03;N05A;ANTIPSYCHOTIKA;;;;;;
MEMANTIN ;Aristo Pharma;Memantin hydrochlorid;N06DX01;N06D;ANTIDEMENTIVA;;;;;;
METAMIZOL ;Aristo Pharma;Metamizol natrium-1-Wasser;N02BB02;N02B;ANDERE ANALGETIKA UND ANTIPYRETIKA;;;;;;
METFORMIN ;Aristo Pharma;Metformin hydrochlorid;A10BA02;A10B;ANTIDIABETIKA, EXKL. INSULINE;;;;;;
METRONIDAZOL ;Aristo Pharma;Metronidazol;P01AB01;P01A;MITTEL GEGEN AMÖBIASIS UND ANDERE PROTOZOEN-ERKRANKUNGEN;;;;;;
MONTELUKAST ;Aristo Pharma;Montelukast natrium;R03DC03;R03D;ANDERE MITTEL BEI OBSTRUKTIVEN ATEMWEGSERKRANKUNGEN ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
MORPHIN ;Aristo Pharma;Morphin sulfat;N02AA01;N02A;OPIOIDE;;;;;;
MYCLAUSEN ;Aristo Pharma;Mycophenolat mofetil;L04AA06;L04A;IMMUNSUPPRESSIVA;;;;;;
NAPROXEN ;Aristo Pharma;Naproxen;M01AE02;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
NITRENDIPIN ;Aristo Pharma;Nitrendipin;C08CA08;C08C;SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER GEFÄSSWIRKUNG;;;;;;
OLANZAPIN ;Aristo Pharma;Olanzapin;N05AH03;N05A;ANTIPSYCHOTIKA;;;;;;
OMEPRAZOL ;Aristo Pharma;Omeprazol;A02BC01;A02B;MITTEL BEI PEPTISCHEM ULKUS UND GASTROESOPHAGEALER REFLUXKRANKHEIT;;;;;;
ONDANSETRON ;Aristo Pharma;Ondansetron hydrochlorid-2-Wasser;A04AA01;A04A;ANTIEMETIKA UND MITTEL GEGEN ÜBELKEIT;;;;;;
OXYBUTYNIN ;Aristo Pharma;Oxybutynin hydrochlorid;G04BD04;G04B;UROLOGIKA;;;;;;
OXYCODON ;Aristo Pharma;Oxycodon hydrochlorid;N02AA05;N02A;OPIOIDE;;;;;;
OXYCODON-HCl ;Aristo Pharma;Oxycodon hydrochlorid;N02AA05;N02A;OPIOIDE;;;;;;
PREGABALIN ;Aristo Pharma;Pregabalin;N03AX16;N03A;ANTIEPILEPTIKA;;;;;;
PROPIVERIN ;Aristo Pharma;Propiverin hydrochlorid;G04BD06;G04B;UROLOGIKA;;;;;;
PROVOKIT ;Aristo Pharma;Methacholin chlorid;V04CL01;V04C;ANDERE DIAGNOSTIKA;;;;;;
RASAGILIN ;Aristo Pharma;Rasagilin tartrat;N04BD02;N04B;DOPAMINERGE MITTEL;;;;;;
RISPERIDON ;Aristo Pharma;Risperidon;N05AX08;N05A;ANTIPSYCHOTIKA;;;;;;
RIVASTIGMIN ;Aristo Pharma;Rivastigmin;N06DA03;N06D;ANTIDEMENTIVA;;;;;;
ROXI ;Aristo Pharma;Roxithromycin;J01FA06;J01F;MAKROLIDE, LINCOSAMIDE UND STREPTOGRAMINE;;;;;;
SERTRALIN ;Aristo Pharma;Sertralin hydrochlorid;N06AB06;N06A;ANTIDEPRESSIVA;;;;;;
SILDARISTO ;Aristo Pharma;Sildenafil citrat;G04BE03;G04B;UROLOGIKA;;;;;;
SIMVA ;Aristo Pharma;Simvastatin;C10AA01;C10A;MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, REIN;;;;;;
SPIRONOLACTON ;Aristo Pharma;Spironolacton;C03DA01;C03D;KALIUM SPARENDE MITTEL;;;;;;
TADALAFIL ;Aristo Pharma;Tadalafil;G04BE08;G04B;UROLOGIKA;;;;;;
TAMOXIFEN ;Aristo Pharma;Tamoxifen dihydrogencitrat;L02BA01;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
TAMSULOSIN ;Aristo Pharma;Tamsulosin hydrochlorid;G04CA02;G04C;MITTEL BEI BENIGNER PROSTATAHYPERPLASIE;;;;;;
TENOFOVIRDISOPROXIL ;Aristo Pharma;Tenofovir disoproxil phosphat;J05AF07;J05A;DIREKT WIRKENDE ANTIVIRALE MITTEL;;;;;;
TERAZOSIN ;Aristo Pharma;Terazosin hydrochlorid-2-Wasser;G04CA03;G04C;MITTEL BEI BENIGNER PROSTATAHYPERPLASIE;;;;;;
THEOPHYLLIN ;Aristo Pharma;Theophyllin;R03DA04;R03D;ANDERE MITTEL BEI OBSTRUKTIVEN ATEMWEGSERKRANKUNGEN ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
THIAMAZOL ;Aristo Pharma;Thiamazol;H03BB02;H03B;THYREOSTATIKA;;;;;;
TIBOLON ;Aristo Pharma;Tibolon;G03CX01;G03C;ESTROGENE;;;;;;
TRANYLCYPROMIN ;Aristo Pharma;Tranylcypromin hemisulfat;N06AF04;N06A;ANTIDEPRESSIVA;;;;;;
TRIMIPRAMIN ;Aristo Pharma;Trimipramin hydrogenmaleat;N06AA06;N06A;ANTIDEPRESSIVA;;;;;;
VALPROAT ;Aristo Pharma;Valproat natrium;N03AG01;N03A;ANTIEPILEPTIKA;;;;;;
VENLAFAXIN ;Aristo Pharma;Venlafaxin hydrochlorid;N06AX16;N06A;ANTIDEPRESSIVA;;;;;;
VITADRAL ;Aristo Pharma;Retinol palmitat;A11CA01;A11C;VITAMIN A UND D, INKL. DEREN KOMBINATIONEN;;;;;;
VORICONAZOL ;Aristo Pharma;Voriconazol;J02AC03;J02A;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
ZOLPIDEM ;Aristo Pharma;Zolpidem hemitartrat;N05CF02;N05C;HYPNOTIKA UND SEDATIVA;;;;;;
ZONISAMID ;Aristo Pharma;Zonisamid;N03AX15;N03A;ANTIEPILEPTIKA;;;;;;
ZOPICLON ;Aristo Pharma;Zopiclon;N05CF01;N05C;HYPNOTIKA UND SEDATIVA;;;;;;
ALKERAN ;Aspen Germany;Melphalan;L01AA03;L01A;ALKYLIERENDE MITTEL;;;;;;
ARIXTRA ;Aspen Germany;Fondaparinux natrium;B01AX05;B01A;ANTITHROMBOTISCHE MITTEL;;;;;;
CARBOSTESIN ;Aspen Germany;Bupivacain hydrochlorid-1-Wasser;N01BB01;N01B;LOKALANÄSTHETIKA;;;;;;
DISOPRIVAN ;Aspen Germany;Propofol;N01AX10;N01A;ALLGEMEINANÄSTHETIKA;;;;;;
EUSAPRIM ;Aspen Germany;Co-trimoxazol;J01EE01;J01E;SULFONAMIDE UND TRIMETHOPRIM;;;;;;
FRAXIPARINE ;Aspen Germany;Nadroparin calcium;B01AB06;B01A;ANTITHROMBOTISCHE MITTEL;;;;;;
FRAXODI ;Aspen Germany;Nadroparin calcium;B01AB06;B01A;ANTITHROMBOTISCHE MITTEL;;;;;;
IMUREK ;Aspen Germany;Azathioprin;L04AX01;L04A;IMMUNSUPPRESSIVA;;;;;;
LENOXIN ;Aspen Germany;Digoxin;C01AA05;C01A;HERZGLYKOSIDE;;;;;;
LEUKERAN ;Aspen Germany;Chlorambucil;L01AA02;L01A;ALKYLIERENDE MITTEL;;;;;;
MIVACRON ;Aspen Germany;Mivacurium chlorid;M03AC10;M03A;MUSKELRELAXANZIEN, PERIPHER WIRKENDE MITTEL;;;;;;
MONO ;Aspen Germany;Certoparin natrium;B01AB13;B01A;ANTITHROMBOTISCHE MITTEL;;;;;;
MYLERAN ;Aspen Germany;Busulfan;L01AB01;L01A;ALKYLIERENDE MITTEL;;;;;;
NAROPIN ;Aspen Germany;Ropivacain hydrochlorid-1-Wasser;N01BB09;N01B;LOKALANÄSTHETIKA;;;;;;
NIMBEX ;Aspen Germany;Cisatracurium besilat;M03AC11;M03A;MUSKELRELAXANZIEN, PERIPHER WIRKENDE MITTEL;;;;;;
ORGARAN ;Aspen Germany;Danaparoid natrium;B01AB09;B01A;ANTITHROMBOTISCHE MITTEL;;;;;;
OSNERVAN ;Aspen Germany;Procyclidin hydrochlorid;N04AA04;N04A;ANTICHOLINERGIKA;;;;;;
OVESTIN ;Aspen Germany;Estriol;G03CA04;G03C;ESTROGENE;;;;;;
PURI ;Aspen Germany;Mercaptopurin;L01BB02;L01B;ANTIMETABOLITEN;;;;;;
SCANDICAIN ;Aspen Germany;Mepivacain hydrochlorid;N01BB03;N01B;LOKALANÄSTHETIKA;;;;;;
THEVIER ;Aspen Germany;Levothyroxin natrium;H03AA01;H03A;SCHILDDRÜSENPRÄPARATE;;;;;;
THIOGUANIN ;Aspen Germany;Tioguanin;L01BB03;L01B;ANTIMETABOLITEN;;;;;;
ULTIVA ;Aspen Germany;Remifentanil hydrochlorid;N01AH06;N01A;ALLGEMEINANÄSTHETIKA;;;;;;
XYLOCAIN ;Aspen Germany;Lidocain hydrochlorid-1-Wasser;C01BB01;C01B;ANTIARRHYTHMIKA, KLASSE I UND III;;;;;;
XYLONEST ;Aspen Germany;Prilocain hydrochlorid;N01BB04;N01B;LOKALANÄSTHETIKA;;;;;;
ADVAGRAF ;Astellas;Tacrolimus-1-Wasser;L04AD02;L04A;IMMUNSUPPRESSIVA;;;;;;
BETMIGA ;Astellas;Mirabegron;G04BD12;G04B;UROLOGIKA;;;;;;
DIFICLIR ;Astellas;Fidaxomicin;A07AA12;A07A;INTESTINALE ANTIINFEKTIVA;;;;;;
ELIGARD ;Astellas;Leuprorelin acetat (1:x);L02AE02;L02A;HORMONE UND VERWANDTE MITTEL;;;;;;
MODIGRAF ;Astellas;Tacrolimus-1-Wasser;L04AD02;L04A;IMMUNSUPPRESSIVA;;;;;;
OMNIC ;Astellas;Tamsulosin hydrochlorid;G04CA02;G04C;MITTEL BEI BENIGNER PROSTATAHYPERPLASIE;;;;;;
PROGRAF ;Astellas;Tacrolimus-1-Wasser;L04AD02;L04A;IMMUNSUPPRESSIVA;;;;;;
TAMSU ;Astellas;Tamsulosin hydrochlorid;G04CA02;G04C;MITTEL BEI BENIGNER PROSTATAHYPERPLASIE;;;;;;
VESIKUR ;Astellas;Solifenacin succinat;G04BD08;G04B;UROLOGIKA;;;;;;
XTANDI ;Astellas;Enzalutamid;L02BB04;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
AERODUR ;AstraZeneca;Terbutalin hemisulfat;R03AC03;R03A;INHALATIVE SYMPATHOMIMETIKA;;;;;;
ALVESCO ;AstraZeneca;Ciclesonid;R03BA08;R03B;ANDERE INHALATIVE MITTEL BEI OBSTRUKTIVEN ATEMWEGSERKRANKUNGEN;;;;;;
ANTRA ;AstraZeneca;Omeprazol hemimagnesium;A02BC01;A02B;MITTEL BEI PEPTISCHEM ULKUS UND GASTROESOPHAGEALER REFLUXKRANKHEIT;;;;;;
ARIMIDEX ;AstraZeneca;Anastrozol;L02BG03;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
ASCOTOP ;AstraZeneca;Zolmitriptan;N02CC03;N02C;MIGRÄNEMITTEL;;;;;;
ATACAND ;AstraZeneca;Candesartan cilexetil;C09CA06;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
BAMBEC ;AstraZeneca;Bambuterol hydrochlorid;R03CC12;R03C;SYMPATHOMIMETIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
BELOC ;AstraZeneca;Metoprolol tartrat;C07AB02;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
BRICANYL ;AstraZeneca;Terbutalin hemisulfat;R03CC03;R03C;SYMPATHOMIMETIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
BRILIQUE ;AstraZeneca;Ticagrelor;B01AC24;B01A;ANTITHROMBOTISCHE MITTEL;;;;;;
BYDUREON ;AstraZeneca;Exenatid;A10BJ01;A10B;ANTIDIABETIKA, EXKL. INSULINE;;;;;;
BYETTA ;AstraZeneca;Exenatid;A10BJ01;A10B;ANTIDIABETIKA, EXKL. INSULINE;;;;;;
CASODEX ;AstraZeneca;Bicalutamid;L02BB03;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
CRESTOR ;AstraZeneca;Rosuvastatin hemicalcium;C10AA07;C10A;MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, REIN;;;;;;
DAXAS ;AstraZeneca;Roflumilast;R03DX07;R03D;ANDERE MITTEL BEI OBSTRUKTIVEN ATEMWEGSERKRANKUNGEN ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
EKLIRA ;AstraZeneca;Aclidinium bromid;R03BB05;R03B;ANDERE INHALATIVE MITTEL BEI OBSTRUKTIVEN ATEMWEGSERKRANKUNGEN;;;;;;
EUPHYLONG ;AstraZeneca;Theophyllin;R03DA04;R03D;ANDERE MITTEL BEI OBSTRUKTIVEN ATEMWEGSERKRANKUNGEN ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
FASLODEX ;AstraZeneca;Fulvestrant;L02BA03;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
IRESSA ;AstraZeneca;Gefitinib;L01XE02;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
MODIP ;AstraZeneca;Felodipin;C08CA02;C08C;SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER GEFÄSSWIRKUNG;;;;;;
NEXIUM ;AstraZeneca;Esomeprazol natrium;A02BC05;A02B;MITTEL BEI PEPTISCHEM ULKUS UND GASTROESOPHAGEALER REFLUXKRANKHEIT;;;;;;
NOLVADEX ;AstraZeneca;Tamoxifen dihydrogencitrat;L02BA01;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
ONGLYZA ;AstraZeneca;Saxagliptin hydrochlorid;A10BH03;A10B;ANTIDIABETIKA, EXKL. INSULINE;;;;;;
OXIS ;AstraZeneca;Formoterol hemifumarat-1-Wasser;R03AC13;R03A;INHALATIVE SYMPATHOMIMETIKA;;;;;;
PULMICORT ;AstraZeneca;Budesonid;R01AD05;R01A;DEKONGESTIVA UND ANDERE RHINOLOGIKA ZUR TOPISCHEN ANWENDUNG;;;;;;
SEROQUEL ;AstraZeneca;Quetiapin hemifumarat;N05AH04;N05A;ANTIPSYCHOTIKA;;;;;;
TENORMIN ;AstraZeneca;Atenolol;C07AB03;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
ZOLADEX ;AstraZeneca;Goserelin acetat (1:x);L02AE03;L02A;HORMONE UND VERWANDTE MITTEL;;;;;;
BRETARIS ;AstraZeneca Br.;Aclidinium bromid;R03BB05;R03B;ANDERE INHALATIVE MITTEL BEI OBSTRUKTIVEN ATEMWEGSERKRANKUNGEN;;;;;;
LYNPARZA ;AstraZeneca Sp.;Olaparib;L01XX46;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
TAGRISSO ;AstraZeneca Sp.;Osimertinib mesilat;L01XE35;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
DIPENTUM ;Atnahs Pharma;Olsalazin dinatrium;A07EC03;A07E;INTESTINALE ANTIPHLOGISTIKA;;;;;;
KEVATRIL ;Atnahs Pharma;Granisetron hydrochlorid;A04AA02;A04A;ANTIEMETIKA UND MITTEL GEGEN ÜBELKEIT;;;;;;
ALENDRONSÄURE ;Aurobindo;Alendronsäure natrium-3-Wasser;M05BA04;M05B;MITTEL MIT EINFLUSS AUF DIE KNOCHENSTRUKTUR UND DIE MINERALISATION;;;;;;
ALFUZOSIN ;Aurobindo;Alfuzosin hydrochlorid;G04CA01;G04C;MITTEL BEI BENIGNER PROSTATAHYPERPLASIE;;;;;;
AMIODARON ;Aurobindo;Amiodaron hydrochlorid;C01BD01;C01B;ANTIARRHYTHMIKA, KLASSE I UND III;;;;;;
AMLODIPIN ;Aurobindo;Amlodipin besilat;C08CA01;C08C;SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER GEFÄSSWIRKUNG;;;;;;
ARIPIPRAZOL ;Aurobindo;Aripiprazol;N05AX12;N05A;ANTIPSYCHOTIKA;;;;;;
BISOPROLOL ;Aurobindo;Bisoprolol hemifumarat;C07AB07;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
CANDESARTAN ;Aurobindo;Candesartan cilexetil;C09CA06;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
CARVEDILOL ;Aurobindo;Carvedilol;C07AG02;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
CELECOXIB ;Aurobindo;Celecoxib;M01AH01;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
CLOPIDOGREL ;Aurobindo;Clopidogrel sulfat;B01AC04;B01A;ANTITHROMBOTISCHE MITTEL;;;;;;
DONEPEZIL ;Aurobindo;Donepezil hydrochlorid;N06DA02;N06D;ANTIDEMENTIVA;;;;;;
DOXAZOSIN ;Aurobindo;Doxazosin mesilat;C02CA04;C02C;ANTIADRENERGE MITTEL, PERIPHER WIRKEND;;;;;;
DULOXETIN ;Aurobindo;Duloxetin hydrochlorid;G04BX18;G04B;UROLOGIKA;;;;;;
EFAVIRENZ ;Aurobindo;Efavirenz;J05AG03;J05A;DIREKT WIRKENDE ANTIVIRALE MITTEL;;;;;;
ENTACAPON ;Aurobindo;Entacapon;N04BX02;N04B;DOPAMINERGE MITTEL;;;;;;
ESCITALOPRAM ;Aurobindo;Escitalopram oxalat;N06AB10;N06A;ANTIDEPRESSIVA;;;;;;
FINASTERID ;Aurobindo;Finasterid;D11AX10;D11A;ANDERE DERMATIKA;;;;;;
FLECAINIDACETAT ;Aurobindo;Flecainid acetat;C01BC04;C01B;ANTIARRHYTHMIKA, KLASSE I UND III;;;;;;
FLUCONAZOL ;Aurobindo;Fluconazol;J02AC01;J02A;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
GABAPENTIN ;Aurobindo;Gabapentin;N03AX12;N03A;ANTIEPILEPTIKA;;;;;;
GLIMEPIRID ;Aurobindo;Glimepirid;A10BB12;A10B;ANTIDIABETIKA, EXKL. INSULINE;;;;;;
IRBESARTAN ;Aurobindo;Irbesartan;C09CA04;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
LAMIVUDIN ;Aurobindo;Lamivudin;J05AF05;J05A;DIREKT WIRKENDE ANTIVIRALE MITTEL;;;;;;
LAMOTRIGIN ;Aurobindo;Lamotrigin;N03AX09;N03A;ANTIEPILEPTIKA;;;;;;
LEVETIRACETAM ;Aurobindo;Levetiracetam;N03AX14;N03A;ANTIEPILEPTIKA;;;;;;
LISINOPRIL ;Aurobindo;Lisinopril-2-Wasser;C09AA03;C09A;ACE-HEMMER, REIN;;;;;;
MEMANTIN ;Aurobindo;Memantin hydrochlorid;N06DX01;N06D;ANTIDEMENTIVA;;;;;;
MIRTAZAPIN ;Aurobindo;Mirtazapin;N06AX11;N06A;ANTIDEPRESSIVA;;;;;;
MODAFINIL ;Aurobindo;Modafinil;N06BA07;N06B;PSYCHOSTIMULANZIEN, MITTEL ZUR BEHANDLUNG DER ADHS UND NOOTROPIKA;;;;;;
MONTELUKAST ;Aurobindo;Montelukast natrium;R03DC03;R03D;ANDERE MITTEL BEI OBSTRUKTIVEN ATEMWEGSERKRANKUNGEN ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
MOXIFLOXACIN ;Aurobindo;Moxifloxacin hydrochlorid;J01MA14;J01M;CHINOLONE;;;;;;
NEVIRAPIN ;Aurobindo;Nevirapin;J05AG01;J05A;DIREKT WIRKENDE ANTIVIRALE MITTEL;;;;;;
OLANZAPIN ;Aurobindo;Olanzapin;N05AH03;N05A;ANTIPSYCHOTIKA;;;;;;
ONDANSETRON ;Aurobindo;Ondansetron hydrochlorid-2-Wasser;A04AA01;A04A;ANTIEMETIKA UND MITTEL GEGEN ÜBELKEIT;;;;;;
PHENYTOIN-NATRIUM ;Aurobindo;Phenytoin natrium;N03AB02;N03A;ANTIEPILEPTIKA;;;;;;
PIOGLITAZON ;Aurobindo;Pioglitazon hydrochlorid;A10BG03;A10B;ANTIDIABETIKA, EXKL. INSULINE;;;;;;
PRAMIPEXOL ;Aurobindo;Pramipexol dihydrochlorid-1-Wasser;N04BC05;N04B;DOPAMINERGE MITTEL;;;;;;
QUETIAPIN ;Aurobindo;Quetiapin hemifumarat;N05AH04;N05A;ANTIPSYCHOTIKA;;;;;;
RABEPRAZOL ;Aurobindo;Rabeprazol natrium;A02BC04;A02B;MITTEL BEI PEPTISCHEM ULKUS UND GASTROESOPHAGEALER REFLUXKRANKHEIT;;;;;;
RAMIPRIL ;Aurobindo;Ramipril;C09AA05;C09A;ACE-HEMMER, REIN;;;;;;
REPAGLINID ;Aurobindo;Repaglinid;A10BX02;A10B;ANTIDIABETIKA, EXKL. INSULINE;;;;;;
RIBAVIRIN ;Aurobindo;Ribavirin;J05AB04;J05A;DIREKT WIRKENDE ANTIVIRALE MITTEL;;;;;;
RISEDRONAT ;Aurobindo;Risedronat natrium;M05BA07;M05B;MITTEL MIT EINFLUSS AUF DIE KNOCHENSTRUKTUR UND DIE MINERALISATION;;;;;;
RISPERIDON ;Aurobindo;Risperidon;N05AX08;N05A;ANTIPSYCHOTIKA;;;;;;
RIZATRIPTAN ;Aurobindo;Rizatriptan benzoat;N02CC04;N02C;MIGRÄNEMITTEL;;;;;;
SERTRALIN ;Aurobindo;Sertralin hydrochlorid;N06AB06;N06A;ANTIDEPRESSIVA;;;;;;
SILDENAFIL ;Aurobindo;Sildenafil citrat;G04BE03;G04B;UROLOGIKA;;;;;;
SIMVASTATIN ;Aurobindo;Simvastatin;C10AA01;C10A;MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, REIN;;;;;;
SUMATRIPTAN ;Aurobindo;Sumatriptan succinat;N02CC01;N02C;MIGRÄNEMITTEL;;;;;;
TAMSULOSIN ;Aurobindo;Tamsulosin hydrochlorid;G04CA02;G04C;MITTEL BEI BENIGNER PROSTATAHYPERPLASIE;;;;;;
TERBINAFIN ;Aurobindo;Terbinafin hydrochlorid;D01BA02;D01B;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
TOPIRAMAT ;Aurobindo;Topiramat;N03AX11;N03A;ANTIEPILEPTIKA;;;;;;
VALACICLOVIR ;Aurobindo;Valaciclovir hydrochlorid-1-Wasser;J05AB11;J05A;DIREKT WIRKENDE ANTIVIRALE MITTEL;;;;;;
VALSARTAN ;Aurobindo;Valsartan;C09CA03;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
ZIDOVUDIN ;Aurobindo;Zidovudin;J05AF01;J05A;DIREKT WIRKENDE ANTIVIRALE MITTEL;;;;;;
ZIPRASIDON ;Aurobindo;Ziprasidon hydrochlorid-1-Wasser;N05AE04;N05A;ANTIPSYCHOTIKA;;;;;;
FENTANYL ;Ausbüttel Ph.;Fentanyl;N02AB03;N02A;OPIOIDE;;;;;;
ALENDRONSÄURE ;axcount;Alendronsäure natrium-3-Wasser;M05BA04;M05B;MITTEL MIT EINFLUSS AUF DIE KNOCHENSTRUKTUR UND DIE MINERALISATION;;;;;;
